,Acceleration,Aggression,Agility,Balance,Ball Control,Composure,Crossing,Curve,Dribbling,FK Accuracy,Finishing,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Heading Accuracy,ID,Interceptions,Jumping,Long Passing,Long Shots,Marking,Penalties,Positioning,Reactions,Short Passing,Shot Power,Sliding Tackle,Sprint Speed,Stamina,Standing Tackle,Strength,Vision,Volleys
26,78,57,90,86,92,83,72,85,90,77,69,6,11,7,9,13,58,189509,78,75,90,82,49,75,83,84,91,75,65,68,75,64,59,86,90
27,88,80,92,87,87,86,81,79,90,78,84,10,10,15,12,13,70,184941,50,85,73,82,30,77,85,87,79,84,35,84,86,44,72,82,83
28,64,88,63,58,76,82,55,49,53,51,42,6,8,15,5,15,92,182493,88,89,70,43,87,50,48,85,79,67,89,70,67,86,80,52,47
29,75,84,81,59,82,84,70,77,80,76,85,12,5,13,13,10,89,179813,48,88,50,79,24,84,93,91,78,86,27,78,92,45,75,77,85
30,93,65,78,65,85,85,86,86,87,85,87,15,15,11,5,6,86,173731,59,85,80,90,51,76,86,85,85,91,52,95,76,55,80,79,80
31,65,31,55,54,34,61,13,11,10,10,10,88,84,68,83,90,10,167948,27,74,50,14,12,40,10,84,50,23,18,62,41,10,43,30,11
32,51,25,47,36,16,62,12,12,12,14,10,87,86,69,89,89,10,162835,22,78,34,19,17,23,12,83,36,22,13,55,41,10,71,41,12
33,94,63,87,88,88,89,77,82,88,60,88,14,14,9,11,14,59,209331,55,70,67,81,37,61,89,88,82,77,41,93,85,43,76,82,73
34,78,56,76,76,80,85,46,58,76,45,91,13,9,5,7,9,90,201399,22,92,54,70,18,82,92,88,73,84,20,80,74,24,77,66,85
35,69,89,87,94,88,91,72,73,90,64,60,12,12,15,15,10,55,199556,86,64,89,58,76,64,71,87,90,56,79,62,77,84,56,88,64
36,75,64,83,75,87,87,88,87,84,86,83,15,15,15,5,14,62,198710,55,54,82,91,27,81,80,85,86,86,44,70,68,41,70,88,90
37,94,34,96,93,92,83,85,87,90,77,75,8,4,14,9,10,56,198219,26,53,78,84,16,61,83,83,85,75,22,86,77,24,44,87,74
38,38,43,37,43,18,62,15,18,17,12,14,86,84,87,84,89,11,192448,22,79,38,10,10,25,11,84,30,22,10,50,35,13,79,57,14
39,50,85,65,55,85,88,62,66,78,68,67,5,8,13,9,13,68,189511,87,66,79,54,79,60,77,85,88,61,80,52,88,86,78,84,44
40,93,75,90,86,83,76,85,77,80,64,73,13,15,13,6,13,69,189332,85,81,74,66,83,59,78,82,83,64,84,93,90,84,60,70,60
41,88,55,92,92,88,85,79,84,89,84,76,12,7,9,14,6,48,189242,30,59,81,87,24,70,84,83,86,83,40,77,80,44,61,87,75
42,94,43,77,70,82,84,77,78,79,74,87,6,9,15,9,9,79,188567,48,77,64,78,28,76,89,86,77,81,36,95,78,25,76,77,86
43,71,82,58,53,70,86,69,56,67,31,34,7,12,15,6,5,85,183907,81,75,80,58,86,46,47,82,75,79,88,79,74,90,91,76,53
44,79,84,77,82,88,85,90,80,86,67,67,12,5,5,5,9,73,176676,84,77,76,66,78,59,75,87,82,83,87,79,81,85,77,75,54
45,75,48,83,70,89,78,82,84,85,78,73,6,14,10,6,14,54,176635,24,52,83,75,22,67,82,85,89,70,19,69,71,16,57,91,77
46,93,59,94,92,89,81,77,82,91,79,85,7,10,8,10,4,35,175943,36,60,74,81,30,79,86,88,82,80,40,87,77,40,42,83,70
47,72,56,76,66,87,84,78,80,86,72,78,8,6,4,14,14,74,171877,72,71,82,83,60,70,88,88,88,82,62,75,85,73,69,86,79
48,70,77,74,68,79,81,60,61,66,67,38,9,12,5,9,10,80,164240,89,93,81,71,89,69,59,83,79,74,86,73,74,87,81,72,63
49,55,72,58,42,78,86,57,58,59,43,64,10,11,14,15,8,83,152729,88,74,80,51,86,69,58,84,81,62,86,73,66,87,83,62,57
50,87,47,89,91,88,86,80,87,91,81,85,10,8,11,5,15,51,9014,39,61,71,88,29,78,85,87,84,87,26,80,68,26,67,83,86
51,72,58,79,84,94,89,77,80,90,70,70,6,13,6,13,7,54,41,66,52,86,71,57,71,84,88,92,65,56,71,58,57,58,94,74
52,63,87,66,57,78,84,52,59,69,74,59,13,14,16,12,12,76,200145,86,86,82,79,86,66,69,84,84,86,86,65,87,89,87,77,53
53,78,58,87,90,94,86,73,86,91,74,85,10,8,12,15,6,55,197781,66,64,84,87,25,76,83,79,88,73,51,75,71,64,59,87,65
54,78,72,62,47,73,82,75,74,79,66,88,8,15,14,7,10,87,192505,27,72,73,76,27,80,87,85,74,88,30,89,80,30,93,74,78
55,81,77,77,63,83,81,55,70,83,51,90,6,8,15,12,6,81,192387,40,77,49,76,31,78,91,87,74,86,32,85,77,33,77,65,87
56,84,82,79,79,81,82,86,78,82,59,55,7,7,9,12,5,76,191043,82,79,71,72,78,60,70,86,81,80,84,88,93,84,80,70,68
57,76,57,76,72,81,83,79,81,75,59,87,6,7,11,14,14,82,189596,58,81,68,77,31,60,93,91,81,77,44,77,90,41,67,84,84
58,77,82,75,73,79,78,80,68,69,58,46,13,9,10,6,5,76,184432,85,76,80,60,89,66,62,87,81,68,87,79,88,89,74,74,51
59,62,82,60,52,75,86,44,56,69,61,44,2,2,3,2,4,86,184344,90,85,85,65,80,70,38,84,79,74,84,72,73,88,85,74,58
60,65,93,75,77,83,86,76,76,76,68,77,4,2,4,2,4,82,181872,85,85,81,85,76,81,81,87,84,86,86,60,88,89,77,80,78
61,74,68,79,79,89,84,80,86,86,91,60,7,7,13,7,8,60,180206,78,61,85,82,66,79,70,84,89,78,70,74,78,74,68,88,72
62,80,88,81,84,85,84,73,73,80,68,76,11,11,14,8,11,59,178518,86,76,81,86,78,63,88,87,84,84,88,76,94,86,76,76,75
63,68,84,62,55,74,83,68,58,69,73,56,6,10,9,12,7,82,172871,86,83,74,68,86,68,60,83,79,86,87,67,79,87,82,68,52
64,67,67,72,66,87,81,81,88,84,84,83,14,11,12,5,9,58,168651,69,44,90,88,52,78,80,77,87,84,53,64,78,65,63,87,80
65,79,81,74,60,81,88,85,74,77,75,59,11,15,9,9,5,68,164169,84,71,77,60,85,65,71,84,79,71,87,82,91,84,74,70,56
66,59,84,76,41,85,90,75,82,80,82,86,13,15,10,9,12,80,41236,20,69,76,82,15,89,83,83,80-2,90,27,63,67,41,86,83,86
67,93,59,90,82,85,78,83,82,88,68,80,8,12,9,9,14,72,222492,32,66,64,77,26,67,84,80,79,85,35,95,83,32,70,81,72
68,64,35,60,48,37,64,20,15,23,20,14,83,80,90,81,87,14,210257,25,58,55,18,9,17,20,86,56,42,8,63,41,15,68,67,18
69,87,61,91,71,89,75,80,81,91,78,79,9,11,9,10,10,53,208418,18,68,74,75,19,74,81,83,79,84,26,89,73,39,59,74,68
70,94,34,91,92,87,76,76,68,87,61,76,15,12,12,15,9,38,202652,26,60,67,70,48,63,86,82,83,70,54,92,81,58,67,76,64
71,78,71,82,82,87,86,72,80,87,67,86,8,11,9,6,10,75,201942,58,83,75,76,30,72,86,86,86,81,42,79,90,62,79,86,81
72,80,77,58,47,77,82,36,46,57,54,40,11,11,9,5,14,83,201535,82,80,76,53,84,43,44,81,75,52,85,85,68,86,85,56,42
73,69,87,50,40,60,78,30,28,60,28,19,7,11,7,13,5,81,201024,88,82,48,15,87,33,24,80,66,55,86,76,73,88,94,34,14
74,86,69,79,77,83,79,81,78,79,85,63,5,7,14,15,9,75,197445,84,82,80,83,78,80,77,84,82,83,80,81,87,82,69,78,68
75,74,71,77,79,86,75,84,85,80,76,71,14,12,5,10,13,61,193747,66,61,85,81,66,59,82,84,86,84,51,70,84,69,75,89,56
76,54,32,60,61,19,49,11,11,16,15,15,89,78,72,80,88,11,193041,20,74,37,13,12,25,16,82,30,21,14,53,39,14,75,54,11
77,82,86,68,60,65,79,27,30,54,10,10,8,6,8,15,12,80,192774,86,86,61,12,88,26,25,85,60,40,89,85,78,87,84,22,16
78,46,28,52,44,22,62,9,9,16,8,9,85,84,74,85,83,13,192563,22,73,33,14,8,23,7,81,37,23,18,52,43,15,68,53,10
79,62,91,69,62,69,84,52,50,49,39,54,12,5,8,11,12,85,192366,86,87,72,56,83,45,51,78,75,69,85,64,76,86,83,48,57
80,62,83,56,53,79,84,71,70,78,67,64,7,15,12,14,9,77,191202,85,71,82,75,78,69,69,85,84,78,75,66,89,85,89,75,74
81,86,49,86,81,85,83,77,90,86,84,86,12,12,13,13,11,49,188350,50,72,76,87,30,85,86,84,86,87,46,88,66,36,67,86,88
82,72,68,82,80,87,87,74,81,85,74,72,11,14,5,5,13,49,186942,78,62,83,74,57,76,79,86,88,77,64,69,71,67,73,87,75
83,63,80,60,50,70,81,64,63,62,69,45,16,6,14,16,14,82,184087,83,81,81,66,89,60,58,84,77,86,84,67,74,90,81,67,38
84,83,65,78,72,85,80,84,73,84,75,79,6,7,10,9,6,80,181458,49,84,74,81,26,76,86,81,79,84,54,88,89,52,76,78,78
85,65,51,57,36,84,83,63,65,76,54,89,9,11,13,15,15,84,180930,50,66,72,79,11,67,89,83,77,86,16,68,78,28,82,74,77
86,76,93,58,52,82,83,65,62,77,59,88,11,13,12,8,11,82,179844,40,64,52,73,28,75,87,85,65,82,34,78,80,39,91,74,80
87,72,82,59,53,65,78,45,34,64,27,47,7,4,8,7,11,84,177509,86,84,65,24,88,41,38,80,65,62,84,76,68,86,89,47,37
88,70,90,62,68,58,82,47,36,58,35,44,6,8,5,12,5,86,172879,80,87,54,48,86,33,50,81,60,79,86,81,72,89,86,45,46
89,79,86,83,79,79,82,75,65,78,52,64,8,11,5,10,14,68,170890,86,84,79,70,80,56,72,84,83,78,84,79,94,84,78,75,72
90,67,82,61,57,72,80,48,32,64,39,43,12,6,10,13,12,82,168609,88,82,69,41,88,49,43,80,70,70,85,74,65,88,80,58,51
91,73,75,85,75,82,87,55,83,74,71,87,10,13,6,9,5,90,167397,41,90,58,80,16,84,90,87,78,79,19,66,68,42,75,68,84
92,78,65,77,61,86,79,75,79,82,73,80,13,11,5,5,7,78,165153,22,70,55,76,13,82,85,83,86,83,12,78,73,15,80,86,79
93,60,45,63,77,85,92,85,78,80,81,75,6,10,8,15,15,74,162895,50,65,88,74,56,78,77,81,90,77,58,56,80,59,64,91,81
94,83,52,86,91,88,86,81,83,88,81,76,15,6,9,7,10,41,156616,36,34,74,74,13,78,81,85,86,76,26,79,59,25,60,86,80
95,59,87,59,42,70,81,61,61,63,52,45,10,9,5,8,6,84,139720,80,71,66,55,84,63,41,84,73,75,84,64,74,85,88,59,46
96,73,87,77,80,82,78,68,70,77,72,69,12,11,5,13,7,61,135507,87,78,80,78,79,61,70,85,85,83,78,72,85,85,77,75,74
97,65,94,63,49,62,79,46,44,58,47,46,8,15,5,9,10,80,120533,85,76,61,56,85,57,40,83,70,63,82,69,62,85,85,48,23
98,92,62,83,77,87,80,72,76,89,58,85,13,5,7,11,6,76,231747,49,71,68,69,41,70,83,80,79,79,40,93,83,44,75,77,74
99,75,87,63,63,68,74,51,46,63,43,33,14,14,10,9,8,81,225508,85,84,56,48,82,46,47,78,72,55,85,80,78,85,85,54,42
100,85,45,78,76,86,83,81,83,85,76,82,13,9,6,12,10,50,220834,45,58,82,87,29,62,77,78,84,86,39,84,74,42,61,84,79
101,85,58,88,86,89,85,85,83,91,63,74,9,10,14,12,9,51,218667,49,53,78,70,46,64,80,82,85,70,35,76,82,44,53,84,66
102,80,73,86,91,89,89,83,81,90,78,81,15,9,8,14,15,49,216594,28,67,75,79,21,77,82,78,82,84,25,81,80,39,82,80,77
103,44,27,30,37,30,68,17,19,27,18,13,82,81,83,83,86,19,212831,11,52,44,14,20,23,13,83,45,21,16,35,32,19,78,66,20
104,77,74,83,83,85,81,90,81,79,61,66,8,15,7,15,15,72,212622,79,79,80,67,78,44,78,84,85,75,79,69,85,80,65,79,61
105,51,82,33,32,63,72,30,28,42,30,20,15,7,14,7,15,85,212190,82,38,61,62,82,32,26,81,78,77,83,78,65,86,94,30,29
106,77,84,74,62,85,86,68,71,83,53,83,7,6,9,11,8,77,211117,67,69,76,80,60,68,86,85,84,77,57,76,89,63,71,84,76
107,73,85,71,69,81,80,79,71,75,45,66,13,12,6,8,8,75,209499,83,77,77,53,80,91,68,80,82,75,85,75,93,88,82,73,30
108,94,73,89,85,84,78,72,74,86,64,84,10,10,15,7,14,53,208722,31,77,71,69,33,71,84,81,78,77,38,92,82,35,72,79,71
109,74,69,76,68,85,82,69,63,83,60,77,7,13,12,10,9,83,208421,78,79,80,78,71,55,81,83,87,78,78,73,82,83,76,81,48
110,75,80,69,68,76,79,72,49,65,32,33,6,6,12,10,13,80,207865,84,85,78,35,86,31,46,81,81,53,87,76,75,87,74,51,31
111,74,80,68,66,76,75,69,72,69,63,51,15,10,14,12,15,74,205600,86,87,73,74,81,61,58,80,80,83,85,75,79,87,80,58,70
112,76,81,82,79,83,74,83,72,76,47,41,13,13,15,9,15,65,204963,82,76,71,36,85,45,61,81,81,64,86,86,84,85,75,57,34
113,85,41,92,86,89,83,81,84,90,79,76,15,9,13,11,6,48,204485,38,62,76,76,27,72,80,77,78,79,18,80,76,31,55,82,72
114,71,80,57,51,73,83,53,60,70,70,52,13,10,13,11,11,82,203376,85,80,76,64,83,62,41,82,76,81,83,76,76,85,92,59,45
115,76,48,80,75,89,81,83,78,88,76,78,11,13,5,13,8,65,202166,59,76,78,81,39,63,79,82,83,86,44,79,69,59,66,84,84
116,79,56,65,60,82,80,73,76,83,44,83,4,5,4,4,5,86,201153,24,79,51,76,14,70,85,80,79,80,20,86,73,14,81,76,81
117,45,41,50,31,22,20,19,12,20,15,13,83,80,83,82,86,14,200316,22,64,32,17,11,21,15,81,35,22,12,51,31,13,67,55,14
118,88,60,83,78,85,80,78,81,87,70,85,11,13,13,6,10,65,200104,39,65,64,87,27,71,85,84,79,85,33,87,85,34,64,79,75
119,63,43,67,62,21,48,19,15,15,14,18,86,80,74,81,87,16,199482,25,82,31,18,13,16,9,84,32,20,13,64,36,15,73,48,13
120,68,78,61,60,71,82,49,45,61,16,25,8,10,7,14,13,80,198176,86,76,71,60,87,41,32,80,71,65,82,72,69,86,82,50,27
121,57,25,70,30,23,58,11,15,19,13,11,81,85,71,79,90,12,198009,19,75,31,17,14,21,12,79,33,23,19,56,30,12,52,44,19
122,82,70,87,84,83,85,64,74,85,71,85,11,6,9,5,6,72,193301,40,76,59,75,23,84,87,85,79,81,30,85,79,42,76,74,81
123,88,69,89,85,86,76,77,83,85,64,76,5,11,14,5,7,53,192883,64,71,72,73,49,72,82,81,81,87,55,84,86,53,63,84,81
124,85,63,88,79,86,85,78,83,85,76,86,12,16,9,12,13,78,192629,39,68,64,80,20,82,89,87,80,79,18,80,77,21,59,74,86
125,51,31,42,37,19,65,11,24,11,62,10,83,80,79,83,84,13,192593,20,75,26,14,15,23,15,81,24,24,13,54,32,14,80,52,13
126,53,86,34,55,59,79,29,35,51,26,27,10,14,5,8,10,85,190547,84,82,59,20,85,39,24,79,63,57,82,58,72,85,90,23,17
127,96,55,93,91,89,82,78,82,90,78,67,13,15,9,12,5,50,190483,36,61,68,80,28,77,77,83,80,86,32,92,74,36,63,78,76
128,55,58,69,72,83,78,84,89,78,90,75,5,9,12,14,8,63,189513,82,55,87,80,64,83,79,79,90,79,56,50,80,66,72,85,72
129,87,78,70,72,78,75,81,76,77,71,51,12,6,16,15,8,74,188377,80,83,67,68,79,63,66,82,77,86,83,93,90,84,81,69,57
130,51,40,55,51,22,65,12,16,11,14,12,85,82,74,83,87,16,186153,15,71,36,14,11,18,14,81,32,15,12,47,45,13,65,48,14
131,86,46,93,87,85,87,78,83,93,78,76,13,16,12,7,7,46,184267,38,72,69,75,24,75,81,84,77,69,25,75,83,36,49,79,73
132,86,73,92,79,84,82,83,78,85,72,71,10,7,11,12,11,51,183898,38,72,79,77,34,73,82,80,82,83,56,86,73,59,60,81,77
133,91,44,89,81,84,79,76,82,86,83,77,14,12,13,7,13,31,180403,55,46,77,81,43,70,80,82,80,78,51,86,87,57,63,83,59
134,69,86,72,56,79,77,68,70,66,76,55,11,12,10,7,14,81,179944,84,80,78,73,77,75,54,77,78,79,83,72,75,84,81,69,64
135,60,82,59,52,81,84,72,68,78,68,69,11,9,5,15,8,76,179846,86,68,81,78,74,69,80,86,85,82,76,68,78,82,89,82,78
136,59,20,62,58,14,39,24,23,15,22,14,85,83,77,82,84,13,178750,22,73,39,23,12,15,12,79,39,24,14,54,41,15,73,46,22
137,49,90,54,58,74,83,60,54,62,45,53,5,12,9,11,8,90,177610,88,81,77,63,82,52,57,85,77,76,87,53,74,86,84,76,61
138,75,57,79,80,90,82,85,90,86,81,76,11,15,9,14,12,59,177388,37,48,80,81,29,71,77,75,84,78,39,72,73,36,72,87,77
139,66,61,77,69,89,87,70,85,84,77,88,12,11,7,8,5,84,176769,34,69,70,85,23,84,87,85,75,84,25,65,74,36,61,83,85
140,78,78,81,79,85,84,76,78,84,78,56,4,3,4,2,4,64,173210,78,68,83,80,70,78,78,80,87,80,78,78,77,78,72,84,76
141,67,73,50,36,68,84,45,52,60,76,57,14,10,14,8,14,93,171919,83,46,70,81,81,60,53,84,75,92,82,70,62,89,82,59,60
142,45,31,51,55,15,57,11,17,12,12,11,82,84,77,85,82,12,167628,25,72,34,11,11,25,12,78,33,21,11,50,37,12,76,49,13
143,75,79,82,76,89,90,65,65,89,55,66,16,14,11,16,14,70,162240,82,77,80,71,71,67,70,84,86,85,70,77,76,83,91,80,73
144,94,56,92,94,87,84,82,79,89,79,76,8,11,12,9,6,38,143076,40,70,74,79,24,72,81,83,82,76,34,86,78,30,48,85,72
145,60,66,51,64,65,82,40,50,64,31,21,4,2,4,2,4,72,137186,90,82,65,39,88,60,28,80,65,54,86,76,54,88,85,62,35
146,69,82,53,57,84,87,54,61,79,54,85,14,10,9,15,9,94,106231,23,94,52,80,46,82,86,85,73,83,49,72,70,44,85,73,84
147,35,17,49,34,22,70,19,13,12,19,12,80,84,72,83,79,19,48940,23,51,33,11,11,23,13,81,35,21,12,38,32,13,65,53,17
148,93,54,90,85,85,73,77,78,92,65,77,6,6,14,10,13,43,231443,36,59,68,65,29,75,78,82,74,82,33,89,74,30,47,84,76
149,89,58,92,91,85,82,66,76,86,54,86,13,8,6,6,15,70,230666,32,75,66,73,20,78,87,86,76,78,19,86,87,23,72,76,72
150,68,73,66,59,86,79,60,78,84,72,74,7,10,7,16,7,86,223848,78,85,83,80,69,38,79,77,84,83,69,73,85,77,88,85,68
151,82,78,90,90,88,79,62,64,88,47,74,7,14,15,14,9,42,220971,75,56,78,66,57,58,74,82,88,76,61,66,82,62,59,81,59
152,68,89,57,50,56,73,47,36,47,44,37,9,11,7,10,15,79,216460,85,90,58,48,85,38,24,76,68,72,87,72,68,84,84,27,30
153,86,63,85,84,86,80,80,81,85,81,76,11,15,13,7,14,54,213565,66,72,75,76,63,68,77,80,84,82,63,84,79,59,69,85,75
154,68,72,49,55,72,74,58,61,57,69,45,10,11,5,14,5,85,212218,85,77,78,47,85,35,54,82,75,68,85,70,71,86,84,52,40
155,93,63,79,76,84,74,69,62,83,42,87,9,9,8,15,9,76,212188,37,77,55,67,17,72,85,86,77,74,19,92,81,20,59,61,82
156,92,59,85,82,86,80,76,84,88,54,84,9,8,8,15,11,70,211300,42,80,60,75,35,81,81,81,77,84,36,89,78,39,76,73,74
157,85,84,76,72,82,81,75,76,80,75,72,13,8,15,11,9,75,209658,82,67,79,78,74,60,79,84,84,77,78,85,86,79,68,82,68
158,86,60,87,79,82,78,79,75,84,76,83,10,13,6,7,13,60,208808,27,82,73,83,25,74,79,82,78,82,27,91,83,24,61,81,69
159,52,75,45,50,78,89,66,77,79,50,56,6,6,5,14,14,73,207566,84,68,86,58,77,60,62,74,84,59,71,53,84,85,88,78,50
160,88,56,82,71,84,82,82,86,85,72,78,8,11,14,10,9,75,204970,42,64,75,82,29,57,82,83,83,83,31,79,75,29,66,79,70
161,67,88,58,60,77,84,50,48,76,53,56,9,7,13,14,15,76,200888,85,67,79,64,80,52,69,76,82,77,78,68,87,85,89,69,55
162,81,61,75,63,85,70,80,76,86,62,79,11,16,8,14,16,65,199715,25,70,82,73,25,74,80,80,81,77,23,79,81,21,81,78,75
163,83,73,87,84,82,85,77,83,82,76,78,15,14,9,9,15,45,197965,70,67,82,78,62,76,87,87,83,74,52,76,90,64,59,86,77
164,47,32,45,43,17,52,14,12,19,11,11,82,82,70,82,85,16,193698,21,73,25,13,10,22,10,81,30,21,14,51,39,18,69,41,11
165,90,74,91,83,85,78,78,76,90,69,67,5,5,13,6,9,58,193082,62,75,69,80,60,65,78,80,78,84,70,92,78,70,60,76,68
166,74,58,86,85,90,86,78,80,87,73,73,14,7,12,6,10,49,192318,66,58,80,64,38,65,79,85,88,68,57,67,73,53,68,87,86
167,64,79,66,69,70,74,50,55,53,47,58,11,9,15,10,6,81,192227,85,84,69,52,82,54,50,82,77,66,82,69,74,84,81,55,51
168,76,86,84,82,85,84,74,80,80,65,71,9,12,15,9,8,60,191740,87,63,80,69,80,79,78,85,85,75,76,70,88,79,70,83,69
169,69,65,80,58,86,79,77,83,87,69,73,14,9,6,10,12,63,191180,69,49,83,76,49,75,78,82,87,78,51,72,67,59,64,86,78
170,38,31,43,39,20,48,11,11,10,15,11,84,79,68,81,88,11,190941,18,69,20,14,11,20,9,82,15,14,13,44,34,10,55,53,9
171,65,86,65,68,84,85,74,75,75,70,68,7,12,11,6,7,68,189712,84,53,83,70,72,77,78,84,86,81,75,68,82,83,83,79,63
172,84,56,84,82,86,78,78,81,84,57,81,5,11,12,15,9,55,189505,49,67,71,79,30,66,83,83,83,74,31,80,78,32,56,77,70
173,77,30,92,88,85,82,65,74,87,63,77,11,9,8,9,13,45,189358,57,66,76,56,30,78,81,83,84,56,27,63,80,24,39,82,76
174,54,72,38,35,73,81,38,62,64,32,87,6,12,15,11,8,93,189068,39,55,37,74,29,88,88,85,74,83,26,64,84,48,89,68,85
175,76,81,70,66,84,80,64,66,80,72,75,16,16,11,6,8,84,187961,78,88,76,79,77,71,84,84,82,83,73,76,92,78,80,75,75
176,52,87,43,31,82,85,59,73,72,42,64,7,16,16,16,13,79,187936,85,75,78,66,75,57,70,82,82,79,78,61,86,83,91,77,55
177,78,70,71,50,85,81,68,78,81,78,85,2,2,2,4,2,67,186627,30,75,66,77,16,92,79,68,78,89,20,82,66,22,86,74,77
178,67,73,76,75,82,81,75,70,81,70,72,6,11,5,10,8,58,186561,69,67,80,74,60,75,83,81,84,81,67,69,91,70,69,80,79
179,90,54,85,81,84,79,77,65,82,65,76,8,5,14,11,11,65,185020,40,73,51,80,24,62,88,80,75,78,32,90,92,32,55,78,84
180,85,71,85,85,84,82,73,69,84,73,79,16,11,13,9,8,59,184942,42,61,79,76,47,79,81,81,82,79,38,79,75,43,74,80,66
181,68,88,67,53,77,80,72,64,74,49,84,10,8,5,8,15,90,181783,66,85,65,58,56,76,89,86,75,78,64,76,87,64,87,74,86
182,31,84,29,32,72,84,44,46,48,37,41,8,9,12,11,14,89,179847,85,40,62,26,87,33,32,84,64,63,78,39,76,85,90,47,35
183,62,79,63,61,68,82,58,38,60,52,48,14,6,9,10,7,84,179784,83,82,64,31,84,56,51,82,73,62,83,65,68,83,81,57,38
184,38,36,39,36,24,61,14,18,15,11,11,83,81,52,82,87,15,179783,23,72,26,9,12,21,11,83,25,24,10,47,32,12,79,42,11
185,71,73,81,84,85,79,80,83,83,81,65,13,8,7,7,10,49,178562,72,58,85,77,65,67,72,78,88,74,64,67,70,69,67,85,65
