,Unnamed: 0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Position
10,10,242444,João Félix,18,https://cdn.sofifa.org/players/4/19/242444.png,Portugal,https://cdn.sofifa.org/flags/38.png,78,89,SL Benfica,https://cdn.sofifa.org/teams/2/light/234.png,€16.5M,€8K,2005,CF|ST
11,11,231777,A. Ömür,19,https://cdn.sofifa.org/players/4/19/231777.png,Turkey,https://cdn.sofifa.org/flags/48.png,73,84,Trabzonspor,https://cdn.sofifa.org/teams/2/light/436.png,€6.5M,€12K,1799,RM|LM
12,12,221992,H. Lozano,22,https://cdn.sofifa.org/players/4/19/221992.png,Mexico,https://cdn.sofifa.org/flags/83.png,82,87,PSV,https://cdn.sofifa.org/teams/2/light/247.png,€29.5M,€24K,2018,RW|LW
13,13,236610,M. Kean,18,https://cdn.sofifa.org/players/4/19/236610.png,Italy,https://cdn.sofifa.org/flags/27.png,73,87,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€8.5M,€36K,1692,ST
14,14,235790,K. Havertz,19,https://cdn.sofifa.org/players/4/19/235790.png,Germany,https://cdn.sofifa.org/flags/21.png,83,90,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,€35.5M,€41K,1982,CAM|RM
15,15,225748,T. Cantwell,20,https://cdn.sofifa.org/players/4/19/225748.png,England,https://cdn.sofifa.org/flags/14.png,67,78,Norwich City,https://cdn.sofifa.org/teams/2/light/1792.png,€1.3M,€7K,1664,LM|CAM
16,16,206517,J. Grealish,22,https://cdn.sofifa.org/players/4/19/206517.png,England,https://cdn.sofifa.org/flags/14.png,76,84,Aston Villa,https://cdn.sofifa.org/teams/2/light/2.png,€11.5M,€18K,1831,CAM|CM
17,17,237681,T. Kubo,17,https://cdn.sofifa.org/players/4/19/237681.png,Japan,https://cdn.sofifa.org/flags/163.png,67,84,FC Tokyo,https://cdn.sofifa.org/teams/2/light/101150.png,€1.5M,€2K,1715,RM|CF|CAM
18,18,240740,C. Hudson-Odoi,17,https://cdn.sofifa.org/players/4/19/240740.png,England,https://cdn.sofifa.org/flags/14.png,71,89,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€4.7M,€29K,1754,LW|RW
19,19,241096,S. Tonali,18,https://cdn.sofifa.org/players/4/19/241096.png,Italy,https://cdn.sofifa.org/flags/27.png,73,90,Brescia,https://cdn.sofifa.org/teams/2/light/190.png,€7.5M,€2K,1990,CDM|CM
20,20,229880,A. Wan-Bissaka,20,https://cdn.sofifa.org/players/4/19/229880.png,England,https://cdn.sofifa.org/flags/14.png,78,86,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,€13M,€36K,1887,RB
21,21,239956,M. Boadu,17,https://cdn.sofifa.org/players/4/19/239956.png,Netherlands,https://cdn.sofifa.org/flags/34.png,66,85,AZ Alkmaar,https://cdn.sofifa.org/teams/2/light/1906.png,€1.3M,€3K,1592,ST
22,22,234906,H. Aouar,20,https://cdn.sofifa.org/players/4/19/234906.png,France,https://cdn.sofifa.org/flags/18.png,81,90,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,€27M,€55K,2078,CM
23,23,222509,Dani Ceballos,21,https://cdn.sofifa.org/players/4/19/222509.png,Spain,https://cdn.sofifa.org/flags/45.png,81,88,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€25M,€120K,2059,CM|LM
24,24,237692,P. Foden,18,https://cdn.sofifa.org/players/4/19/237692.png,England,https://cdn.sofifa.org/flags/14.png,75,90,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€13.5M,€42K,1873,CAM|CM
25,25,235353,I. Sarr,20,https://cdn.sofifa.org/players/4/19/235353.png,Senegal,https://cdn.sofifa.org/flags/136.png,77,88,Stade Rennais FC,https://cdn.sofifa.org/teams/2/light/74.png,€15.5M,€24K,1830,RM|LM
26,26,232432,L. Jović,20,https://cdn.sofifa.org/players/4/19/232432.png,Serbia,https://cdn.sofifa.org/flags/51.png,82,88,Eintracht Frankfurt,https://cdn.sofifa.org/teams/2/light/1824.png,€31M,€41K,1919,ST|CAM
27,27,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,France,https://cdn.sofifa.org/flags/18.png,88,95,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€82M,€100K,2123,ST|RW
28,28,235735,E. Ampadu,17,https://cdn.sofifa.org/players/4/19/235735.png,Wales,https://cdn.sofifa.org/flags/50.png,65,86,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,€1.1M,€8K,1516,CB|CDM
29,29,228702,F. de Jong,21,https://cdn.sofifa.org/players/4/19/228702.png,Netherlands,https://cdn.sofifa.org/flags/34.png,84,90,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,€42.5M,€24K,2145,CM|CDM
30,30,231281,T. Alexander-Arnold,19,https://cdn.sofifa.org/players/4/19/231281.png,England,https://cdn.sofifa.org/flags/14.png,80,89,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€19M,€42K,2073,RB
31,31,246147,M. Greenwood,16,https://cdn.sofifa.org/players/4/19/246147.png,England,https://cdn.sofifa.org/flags/14.png,66,86,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€1.3M,€11K,1691,CF|RW|ST
32,32,235883,R. Sessegnon,18,https://cdn.sofifa.org/players/4/19/235883.png,England,https://cdn.sofifa.org/flags/14.png,75,86,Fulham,https://cdn.sofifa.org/teams/2/light/144.png,€10.5M,€23K,1939,LM|LW|LB
33,33,231677,M. Rashford,20,https://cdn.sofifa.org/players/4/19/231677.png,England,https://cdn.sofifa.org/flags/14.png,83,90,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€37.5M,€130K,2109,ST|LW|RW
34,34,237329,J. Willock,18,https://cdn.sofifa.org/players/4/19/237329.png,England,https://cdn.sofifa.org/flags/14.png,63,81,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€750K,€7K,1653,CM
35,35,244267,A. Marin,17,https://cdn.sofifa.org/players/4/19/244267.png,Croatia,https://cdn.sofifa.org/flags/10.png,65,86,Dinamo Zagreb,https://cdn.sofifa.org/teams/2/light/211.png,€1.2M,€1K,1569,LW|RW|CAM
36,36,238794,Vinícius Júnior,17,https://cdn.sofifa.org/players/4/19/238794.png,Brazil,https://cdn.sofifa.org/flags/54.png,78,92,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€20.5M,€70K,1894,LW
37,37,240507,A. Gomes,17,https://cdn.sofifa.org/players/4/19/240507.png,England,https://cdn.sofifa.org/flags/14.png,67,87,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€1.5M,€15K,1722,CAM|CM|LW
38,38,240060,M. Aarons,18,https://cdn.sofifa.org/players/4/19/240060.png,England,https://cdn.sofifa.org/flags/14.png,71,85,Norwich City,https://cdn.sofifa.org/teams/2/light/1792.png,€4.4M,€7K,1738,RB
39,39,238067,N. Zaniolo,18,https://cdn.sofifa.org/players/4/19/238067.png,Italy,https://cdn.sofifa.org/flags/27.png,74,89,Roma,https://cdn.sofifa.org/teams/2/light/52.png,€11.5M,€22K,1879,CAM|CM|RW
40,40,239744,M. Cuisance,18,https://cdn.sofifa.org/players/4/19/239744.png,France,https://cdn.sofifa.org/flags/18.png,72,85,Borussia Mönchengladbach,https://cdn.sofifa.org/teams/2/light/23.png,€5.5M,€9K,1930,CM
41,41,244260,Dani Olmo,20,https://cdn.sofifa.org/players/4/19/244260.png,Spain,https://cdn.sofifa.org/flags/45.png,78,87,Dinamo Zagreb,https://cdn.sofifa.org/teams/2/light/211.png,€16M,€1K,1971,CAM|LM|CM
42,42,227796,C. Pulisic,19,https://cdn.sofifa.org/players/4/19/227796.png,United States,https://cdn.sofifa.org/flags/95.png,78,86,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€15M,€44K,1906,RM|LM|On Loan
43,43,235243,M. de Ligt,18,https://cdn.sofifa.org/players/4/19/235243.png,Netherlands,https://cdn.sofifa.org/flags/34.png,85,93,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,€44M,€14K,1974,CB
44,44,237715,P. Cutrone,20,https://cdn.sofifa.org/players/4/19/237715.png,Italy,https://cdn.sofifa.org/flags/27.png,77,89,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€16M,€62K,1756,ST
45,45,239981,J. Arp,18,https://cdn.sofifa.org/players/4/19/239981.png,Germany,https://cdn.sofifa.org/flags/21.png,68,86,Hamburger SV,https://cdn.sofifa.org/teams/2/light/28.png,€1.9M,€3K,1539,ST|LM
46,46,237238,S. McTominay,21,https://cdn.sofifa.org/players/4/19/237238.png,Scotland,https://cdn.sofifa.org/flags/42.png,75,83,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€8.5M,€57K,1908,CDM|CM
47,47,235866,C. Kouamé,20,https://cdn.sofifa.org/players/4/19/235866.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,75,89,Genoa,https://cdn.sofifa.org/teams/2/light/110556.png,€15M,€14K,1815,ST|CF
48,48,236496,M. Guendouzi,19,https://cdn.sofifa.org/players/4/19/236496.png,France,https://cdn.sofifa.org/flags/18.png,74,86,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€9.5M,€34K,1949,CM|CDM
49,49,243780,Kangin Lee,17,https://cdn.sofifa.org/players/4/19/243780.png,Korea Republic,https://cdn.sofifa.org/flags/167.png,72,88,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,€6M,€11K,1741,CAM|LM|RM
50,50,226271,Fabián,22,https://cdn.sofifa.org/players/4/19/226271.png,Spain,https://cdn.sofifa.org/flags/45.png,82,90,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,€32M,€70K,2107,CM|CDM|CAM
51,51,226491,K. Tierney,21,https://cdn.sofifa.org/players/4/19/226491.png,Scotland,https://cdn.sofifa.org/flags/42.png,76,86,Celtic,https://cdn.sofifa.org/teams/2/light/78.png,€11M,€32K,2011,LB|LWB|LM
52,52,234378,D. Rice,19,https://cdn.sofifa.org/players/4/19/234378.png,England,https://cdn.sofifa.org/flags/14.png,76,87,West Ham United,https://cdn.sofifa.org/teams/2/light/19.png,€11.5M,€26K,1714,CDM|CB|CM
53,53,243715,W. Saliba,17,https://cdn.sofifa.org/players/4/19/243715.png,France,https://cdn.sofifa.org/flags/18.png,71,88,AS Saint-Étienne,https://cdn.sofifa.org/teams/2/light/1819.png,€4.2M,€7K,1582,CB
54,54,240130,Éder Militão,20,https://cdn.sofifa.org/players/4/19/240130.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,88,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,€19M,€12K,1979,CB|RB
55,55,231478,L. Martínez,20,https://cdn.sofifa.org/players/4/19/231478.png,Argentina,https://cdn.sofifa.org/flags/52.png,80,88,Inter,https://cdn.sofifa.org/teams/2/light/44.png,€22.5M,€57K,1915,ST
56,56,235805,F. Chiesa,20,https://cdn.sofifa.org/players/4/19/235805.png,Italy,https://cdn.sofifa.org/flags/27.png,79,87,Fiorentina,https://cdn.sofifa.org/teams/2/light/110374.png,€18.5M,€51K,1923,RW|CF
57,57,236632,David Neres,21,https://cdn.sofifa.org/players/4/19/236632.png,Brazil,https://cdn.sofifa.org/flags/54.png,81,87,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,€24.5M,€21K,1962,RW|CAM|LW
58,58,236987,B. Kamara,18,https://cdn.sofifa.org/players/4/19/236987.png,France,https://cdn.sofifa.org/flags/18.png,75,88,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,€10.5M,€15K,1818,CB
59,59,241721,Rafael Leão,19,https://cdn.sofifa.org/players/4/19/241721.png,Portugal,https://cdn.sofifa.org/flags/38.png,74,86,LOSC Lille,https://cdn.sofifa.org/teams/2/light/65.png,€10M,€15K,1787,ST|LM
60,60,220814,L. Hernández,22,https://cdn.sofifa.org/players/4/19/220814.png,France,https://cdn.sofifa.org/flags/18.png,83,89,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€29.5M,€58K,2018,LB|CB
61,61,221363,D. van de Beek,21,https://cdn.sofifa.org/players/4/19/221363.png,Netherlands,https://cdn.sofifa.org/flags/34.png,81,87,Ajax,https://cdn.sofifa.org/teams/2/light/245.png,€24.5M,€19K,2123,CAM|CM
62,62,205693,S. Haller,24,https://cdn.sofifa.org/players/4/19/205693.png,France,https://cdn.sofifa.org/flags/18.png,82,85,Eintracht Frankfurt,https://cdn.sofifa.org/teams/2/light/1824.png,€28.5M,€47K,1919,ST
63,63,220697,J. Maddison,21,https://cdn.sofifa.org/players/4/19/220697.png,England,https://cdn.sofifa.org/flags/14.png,78,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,€14.5M,€48K,1925,CAM|LM
64,64,212194,J. Brandt,22,https://cdn.sofifa.org/players/4/19/212194.png,Germany,https://cdn.sofifa.org/flags/21.png,83,88,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,€34.5M,€75K,1952,LM|CAM|RM
65,65,198717,W. Zaha,25,https://cdn.sofifa.org/players/4/19/198717.png,Ivory Coast,https://cdn.sofifa.org/flags/108.png,82,85,Crystal Palace,https://cdn.sofifa.org/teams/2/light/1799.png,€28.5M,€78K,1930,CF|LM
66,66,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,https://cdn.sofifa.org/flags/54.png,92,92,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€108M,€290K,2150,LW|CAM
67,67,235212,A. Hakimi,19,https://cdn.sofifa.org/players/4/19/235212.png,Morocco,https://cdn.sofifa.org/flags/129.png,78,86,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€12.5M,€49K,2027,LB|RB|On Loan
68,68,242816,Riqui Puig,18,https://cdn.sofifa.org/players/4/19/242816.png,Spain,https://cdn.sofifa.org/flags/45.png,69,85,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€2.1M,€24K,1746,CM
69,69,209889,R. Guerreiro,24,https://cdn.sofifa.org/players/4/19/209889.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,85,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€28M,€59K,2140,LM|LB|CM
70,70,233927,Lucas Paquetá,20,https://cdn.sofifa.org/players/4/19/233927.png,Brazil,https://cdn.sofifa.org/flags/54.png,79,89,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€20.5M,€65K,2116,CAM|CM
71,71,189242,Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€47.5M,€265K,2162,LW|CM
72,72,229668,Mario Hermoso,23,https://cdn.sofifa.org/players/4/19/229668.png,Spain,https://cdn.sofifa.org/flags/45.png,78,86,RCD Espanyol,https://cdn.sofifa.org/teams/2/light/452.png,€13M,€23K,1944,CB|LB
73,73,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,https://cdn.sofifa.org/flags/111.png,89,89,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€71.5M,€265K,2175,RW|ST
74,74,195864,P. Pogba,25,https://cdn.sofifa.org/players/4/19/195864.png,France,https://cdn.sofifa.org/flags/18.png,88,91,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€73M,€255K,2251,CM|CAM
75,75,245371,T. Almada,17,https://cdn.sofifa.org/players/4/19/245371.png,Argentina,https://cdn.sofifa.org/flags/52.png,67,87,Vélez Sarsfield,https://cdn.sofifa.org/teams/2/light/101088.png,€1.5M,€3K,1750,CAM|ST
76,76,245279,Reguilón,21,https://cdn.sofifa.org/players/4/19/245279.png,Spain,https://cdn.sofifa.org/flags/45.png,75,86,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€10M,€68K,1921,LB
77,77,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,€77M,€405K,2228,ST|LW
78,78,231866,Rodri,22,https://cdn.sofifa.org/players/4/19/231866.png,Spain,https://cdn.sofifa.org/flags/45.png,83,88,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,€29.5M,€58K,2073,CDM|CM
79,79,226229,T. Kehrer,21,https://cdn.sofifa.org/players/4/19/226229.png,Germany,https://cdn.sofifa.org/flags/21.png,79,87,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,€16M,€51K,1876,CB|RB|LB
80,80,231943,Richarlison,21,https://cdn.sofifa.org/players/4/19/231943.png,Brazil,https://cdn.sofifa.org/flags/54.png,80,86,Everton,https://cdn.sofifa.org/teams/2/light/7.png,€21M,€84K,2013,ST|LM|RM
81,81,225782,A. Maitland-Niles,20,https://cdn.sofifa.org/players/4/19/225782.png,England,https://cdn.sofifa.org/flags/14.png,73,84,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€6M,€43K,1894,RWB|RM|CM|LB
82,82,228819,M. Vargas,21,https://cdn.sofifa.org/players/4/19/228819.png,Argentina,https://cdn.sofifa.org/flags/52.png,76,87,Vélez Sarsfield,https://cdn.sofifa.org/teams/2/light/101088.png,€13.5M,€13K,1870,LW|CAM
83,83,232363,M. Škriniar,23,https://cdn.sofifa.org/players/4/19/232363.png,Slovakia,https://cdn.sofifa.org/flags/43.png,86,93,Inter,https://cdn.sofifa.org/teams/2/light/44.png,€53.5M,€89K,1816,CB
84,84,223848,S. Milinković-Savić,23,https://cdn.sofifa.org/players/4/19/223848.png,Serbia,https://cdn.sofifa.org/flags/51.png,85,90,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,€50.5M,€73K,2206,CM|CAM
85,85,236007,E. Barco,19,https://cdn.sofifa.org/players/4/19/236007.png,Argentina,https://cdn.sofifa.org/flags/52.png,74,84,Atlanta United,https://cdn.sofifa.org/teams/2/light/112885.png,€9M,€4K,1707,LM|CAM|ST
86,86,228092,S. Berge,20,https://cdn.sofifa.org/players/4/19/228092.png,Norway,https://cdn.sofifa.org/flags/36.png,78,87,KRC Genk,https://cdn.sofifa.org/teams/2/light/673.png,€14M,€13K,1945,CDM|CM
87,87,218667,Bernardo Silva,23,https://cdn.sofifa.org/players/4/19/218667.png,Portugal,https://cdn.sofifa.org/flags/38.png,86,91,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€59.5M,€180K,2089,CAM|CM|RW
88,88,233510,T. Chong,18,https://cdn.sofifa.org/players/4/19/233510.png,Netherlands,https://cdn.sofifa.org/flags/34.png,66,84,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,€1.3M,€15K,1729,RW|LW
89,89,231410,Brahim,18,https://cdn.sofifa.org/players/4/19/231410.png,Spain,https://cdn.sofifa.org/flags/45.png,70,85,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€3.7M,€34K,1643,RW|LW
90,90,241184,Junior Firpo,21,https://cdn.sofifa.org/players/4/19/241184.png,Spain,https://cdn.sofifa.org/flags/45.png,78,85,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€12.5M,€17K,1985,LWB|LB|LM
91,91,223959,L. Torreira,22,https://cdn.sofifa.org/players/4/19/223959.png,Uruguay,https://cdn.sofifa.org/flags/60.png,82,87,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,€25M,€98K,2122,CDM|CM
92,92,238873,P. Pellegri,17,https://cdn.sofifa.org/players/4/19/238873.png,Italy,https://cdn.sofifa.org/flags/27.png,67,87,AS Monaco,https://cdn.sofifa.org/teams/2/light/69.png,€1.5M,€11K,1516,ST
93,93,216388,A. Saint-Maximin,21,https://cdn.sofifa.org/players/4/19/216388.png,France,https://cdn.sofifa.org/flags/18.png,79,86,OGC Nice,https://cdn.sofifa.org/teams/2/light/72.png,€18M,€31K,1833,RW|LW|ST
94,94,228881,D. Calabria,21,https://cdn.sofifa.org/players/4/19/228881.png,Italy,https://cdn.sofifa.org/flags/27.png,78,88,Milan,https://cdn.sofifa.org/teams/2/light/47.png,€14.5M,€52K,1946,RB
95,95,201400,Rafinha,25,https://cdn.sofifa.org/players/4/19/201400.png,Brazil,https://cdn.sofifa.org/flags/54.png,82,85,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,€28M,€165K,2091,CAM|CM|RW
96,96,237629,A. Maier,19,https://cdn.sofifa.org/players/4/19/237629.png,Germany,https://cdn.sofifa.org/flags/21.png,75,87,Hertha BSC,https://cdn.sofifa.org/teams/2/light/166.png,€11.5M,€12K,1836,CM|CDM
97,97,228618,F. Mendy,23,https://cdn.sofifa.org/players/4/19/228618.png,France,https://cdn.sofifa.org/flags/18.png,79,86,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,€15M,€52K,2089,LB
98,98,212188,T. Werner,22,https://cdn.sofifa.org/players/4/19/212188.png,Germany,https://cdn.sofifa.org/flags/21.png,84,87,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png,€40M,€77K,1984,ST
99,99,231691,A. Lafont,19,https://cdn.sofifa.org/players/4/19/231691.png,France,https://cdn.sofifa.org/flags/18.png,79,91,Fiorentina,https://cdn.sofifa.org/teams/2/light/110374.png,€17M,€13K,1209,GK
100,100,235926,M. Zaracho,20,https://cdn.sofifa.org/players/4/19/235926.png,Argentina,https://cdn.sofifa.org/flags/52.png,78,87,Racing Club,https://cdn.sofifa.org/teams/2/light/101085.png,€16M,€18K,1981,CAM|RM|CM
101,101,213956,Adama,22,https://cdn.sofifa.org/players/4/19/213956.png,Spain,https://cdn.sofifa.org/flags/45.png,74,82,Wolverhampton Wanderers,https://cdn.sofifa.org/teams/2/light/110.png,€8.5M,€50K,1769,RW|RM
102,102,216201,Williams,24,https://cdn.sofifa.org/players/4/19/216201.png,Spain,https://cdn.sofifa.org/flags/45.png,81,86,Athletic Club de Bilbao,https://cdn.sofifa.org/teams/2/light/448.png,€24M,€31K,2018,ST|RW
103,103,222492,L. Sané,22,https://cdn.sofifa.org/players/4/19/222492.png,Germany,https://cdn.sofifa.org/flags/21.png,86,92,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€61M,€195K,2106,LW
104,104,241496,T. Weah,18,https://cdn.sofifa.org/players/4/19/241496.png,United States,https://cdn.sofifa.org/flags/95.png,69,85,Celtic,https://cdn.sofifa.org/teams/2/light/78.png,€2.2M,€16K,1691,ST|LW|On Loan
105,105,238476,D. Zagadou,19,https://cdn.sofifa.org/players/4/19/238476.png,France,https://cdn.sofifa.org/flags/18.png,77,85,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,€11M,€18K,1586,CB|LB
106,106,229984,B. Chilwell,21,https://cdn.sofifa.org/players/4/19/229984.png,England,https://cdn.sofifa.org/flags/14.png,78,85,Leicester City,https://cdn.sofifa.org/teams/2/light/95.png,€12.5M,€43K,1988,LB
107,107,226226,G. Lo Celso,22,https://cdn.sofifa.org/players/4/19/226226.png,Argentina,https://cdn.sofifa.org/flags/52.png,82,88,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,€30M,€30K,2147,CM|CAM|CF
108,108,220834,Marco Asensio,22,https://cdn.sofifa.org/players/4/19/220834.png,Spain,https://cdn.sofifa.org/flags/45.png,84,89,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,€41.5M,€195K,2051,LW|RW|LM
109,109,239301,L. Martínez,20,https://cdn.sofifa.org/players/4/19/239301.png,Argentina,https://cdn.sofifa.org/flags/52.png,77,86,Defensa y Justicia,https://cdn.sofifa.org/teams/2/light/111710.png,€12M,€10K,1986,CB|LB
110,110,227813,O. Zinchenko,21,https://cdn.sofifa.org/players/4/19/227813.png,Ukraine,https://cdn.sofifa.org/flags/49.png,75,84,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,€9M,€57K,2073,LB
111,111,240243,Matheus Cunha,19,https://cdn.sofifa.org/players/4/19/240243.png,Brazil,https://cdn.sofifa.org/flags/54.png,73,86,RB Leipzig,https://cdn.sofifa.org/teams/2/light/112172.png,€7.5M,€20K,1766,ST|RM|CAM
112,112,226851,B. Pavard,22,https://cdn.sofifa.org/players/4/19/226851.png,France,https://cdn.sofifa.org/flags/18.png,79,85,VfB Stuttgart,https://cdn.sofifa.org/teams/2/light/36.png,€14.5M,€32K,1964,CB|RB
113,113,216267,A. Robertson,24,https://cdn.sofifa.org/players/4/19/216267.png,Scotland,https://cdn.sofifa.org/flags/42.png,83,88,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,€29M,€110K,2058,LB
114,114,231512,L. Kelly,19,https://cdn.sofifa.org/players/4/19/231512.png,England,https://cdn.sofifa.org/flags/14.png,68,84,Bristol City,https://cdn.sofifa.org/teams/2/light/1919.png,€1.7M,€6K,1636,LB|CB
115,115,237560,M. Djenepo,20,https://cdn.sofifa.org/players/4/19/237560.png,Mali,https://cdn.sofifa.org/flags/126.png,73,84,Standard de Liège,https://cdn.sofifa.org/teams/2/light/232.png,€7M,€10K,1843,LM|RM|CAM
